Ticker,Company Name,Sector,Industry,Calendar Year,Beta,Revenue,Cost Of Revenue,Net Income,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Long-Term Debt,Short-Term Debt,Total Debt,Interest Expense,Income Before Tax,Income Tax Expense,Depreciation and Amortization,Operating Expenses,Operating Income,EBITDA,EBIT,EBT,Operating Cash Flow,Capital Expenditure,Cash And Short Term Investments,Net Cash,Free Cash Flow,Stock Based Compensation,Dividends Paid,Common Stock,Preferred Stock,Retained Earnings,Weighted Average Shares Outstanding,Revenue Per Share,Earnings per Share,Book Value Per Share,Current Ratio,Quick Ratio,Return On Equity,Return On Invested Capital,Return On Assets,Return On Capital Employed,Gross Profit Margin,Operating Profit Margin,Effective Tax Rate,Pre-Tax Cost of Debt,After-Tax Cost of Debt,Interest Coverage Ratio,Price,Market Cap,P/E Ratio,P/S Ratio,Risk Free Rate,Equity Risk Premium,WACC,Avg Market Return
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2014,1.05,6981000000.0,,497000000.0,5459000000.0,10760000000.0,1651000000.0,5473000000.0,2762000000.0,-51000000.0,2762000000.0,113000000.0,646000000.0,149000000.0,383000000.0,2762000000.0,831000000.0,1142000000.0,759000000.0,646000000.0,713000000.0,-207000000.0,3028000000.0,266000000.0,506000000.0,96000000.0,-176000000.0,6000000.0,,6459000000.0,333000000.0,20.96,1.49,15.88,3.31,2.66,0.094,0.08,0.046,0.091,,0.119,0.231,0.041,0.032,7.35,39.33,13096889685.333,26.397,1.873,0.02,0.06,0.074,0.08
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2015,1.05,4038000000.0,1997000000.0,398000000.0,3686000000.0,7476000000.0,986000000.0,3318000000.0,1655000000.0,10000000.0,1655000000.0,66000000.0,480000000.0,45000000.0,253000000.0,1519000000.0,522000000.0,799000000.0,509000000.0,480000000.0,491000000.0,-98000000.0,2003000000.0,348000000.0,393000000.0,54000000.0,-133000000.0,6000000.0,,5581000000.0,333000000.0,12.13,1.2,12.49,3.74,3.19,0.096,0.081,0.053,0.08,0.505,0.129,0.094,0.04,0.036,7.91,43.663,14539890005.333,36.387,3.6,0.019,0.06,0.078,0.08
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2016,1.05,4202000000.0,2005000000.0,460000000.0,3635000000.0,7817000000.0,944000000.0,3573000000.0,1912000000.0,-1000000.0,1912000000.0,72000000.0,544000000.0,84000000.0,22816.0,1582000000.0,615000000.0,862000000.0,616000000.0,544000000.0,793000000.0,-139000000.0,2289000000.0,377000000.0,654000000.0,58000000.0,-150000000.0,6000000.0,,6087000000.0,326000000.0,12.89,1.41,13.02,3.85,3.29,0.108,0.084,0.059,0.09,0.523,0.146,0.154,0.038,0.032,8.54,54.533,17777866410.667,38.677,4.227,0.023,0.057,0.078,0.08
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2017,1.05,4472000000.0,2063000000.0,684000000.0,4169000000.0,8429000000.0,1263000000.0,3599000000.0,1801000000.0,210000000.0,2011000000.0,79000000.0,803000000.0,119000000.0,52516.0,1568000000.0,841000000.0,1094000000.0,882000000.0,803000000.0,889000000.0,-176000000.0,2678000000.0,667000000.0,713000000.0,60000000.0,-170000000.0,3000000.0,1000000.0,-126000000.0,322000000.0,13.89,2.12,15.0,3.3,2.85,0.142,0.105,0.081,0.117,0.539,0.188,0.148,0.039,0.034,10.65,66.247,21331426645.333,31.25,4.77,0.028,0.052,0.078,0.08
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2018,1.05,4914000000.0,2227000000.0,316000000.0,3848000000.0,8541000000.0,1171000000.0,3970000000.0,1799000000.0,,1799000000.0,75000000.0,946000000.0,630000000.0,161141.0,1759000000.0,928000000.0,1231000000.0,1021000000.0,946000000.0,1087000000.0,-177000000.0,2247000000.0,448000000.0,910000000.0,70000000.0,-191000000.0,3000000.0,,-336000000.0,321000000.0,15.31,0.98,14.24,3.29,2.74,0.069,0.049,0.037,0.126,0.547,0.189,0.666,0.042,0.014,12.37,71.023,22798489600.0,72.473,4.64,0.023,0.056,0.078,0.08
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2019,1.05,5163000000.0,2358000000.0,1071000000.0,3189000000.0,9452000000.0,2080000000.0,4704000000.0,1791000000.0,616000000.0,2407000000.0,74000000.0,919000000.0,-152000000.0,171860.0,1864000000.0,941000000.0,1231000000.0,993000000.0,919000000.0,1021000000.0,-156000000.0,1382000000.0,-1025000000.0,865000000.0,72000000.0,-206000000.0,3000000.0,,-18000000.0,314000000.0,16.44,3.41,15.12,1.53,1.21,0.226,0.153,0.113,0.128,0.543,0.182,-0.165,0.031,0.036,12.72,86.083,27030166869.333,25.24,5.237,0.011,0.068,0.079,0.08
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2020,1.05,5339000000.0,2502000000.0,719000000.0,3415000000.0,9627000000.0,1467000000.0,4754000000.0,2284000000.0,75000000.0,2359000000.0,78000000.0,842000000.0,123000000.0,206297.0,1991000000.0,846000000.0,1228000000.0,920000000.0,842000000.0,921000000.0,-119000000.0,1441000000.0,-918000000.0,802000000.0,83000000.0,-222000000.0,3000000.0,,81000000.0,309000000.0,17.28,2.33,15.77,2.33,1.84,0.148,0.1,0.075,0.104,0.531,0.158,0.146,0.033,0.028,10.85,139.987,43255880362.667,60.08,8.103,0.013,0.068,0.08,0.08
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2021,1.05,6319000000.0,2912000000.0,1210000000.0,3799000000.0,10705000000.0,1708000000.0,5316000000.0,2729000000.0,52000000.0,2729000000.0,81000000.0,1360000000.0,150000000.0,236558.0,2060000000.0,1347000000.0,1762000000.0,1441000000.0,1360000000.0,1485000000.0,-189000000.0,1575000000.0,-1154000000.0,1296000000.0,110000000.0,-236000000.0,3000000.0,,348000000.0,304000000.0,20.79,3.98,17.73,2.22,1.74,0.224,0.148,0.113,0.15,0.539,0.213,0.11,0.03,0.026,16.63,139.897,42528586410.667,35.15,6.73,0.025,0.055,0.079,0.08
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2022,1.05,6848000000.0,3126000000.0,1254000000.0,3778000000.0,10516000000.0,1861000000.0,5227000000.0,2733000000.0,36000000.0,2769000000.0,84000000.0,1504000000.0,250000000.0,228485.0,2104000000.0,1618000000.0,1905000000.0,1588000000.0,1504000000.0,1312000000.0,-291000000.0,1053000000.0,-1716000000.0,1021000000.0,125000000.0,-250000000.0,3000000.0,,324000000.0,299000000.0,22.9,4.19,17.74,2.03,1.47,0.236,0.167,0.119,0.187,0.544,0.236,0.166,0.03,0.025,19.26,133.017,39771982506.667,31.743,5.807,0.038,0.043,0.078,0.08
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,2023,1.05,6833000000.0,3368000000.0,1240000000.0,4186000000.0,10763000000.0,1603000000.0,4918000000.0,2735000000.0,46000000.0,2735000000.0,95000000.0,1339000000.0,99000000.0,167895.0,2115000000.0,1350000000.0,1705000000.0,1434000000.0,1339000000.0,1772000000.0,-298000000.0,1590000000.0,-1145000000.0,1474000000.0,111000000.0,-265000000.0,3000000.0,,782000000.0,294000000.0,23.24,4.22,19.88,2.61,1.97,0.212,0.146,0.115,0.147,0.507,0.198,0.074,0.035,0.032,14.21,139.505,41014468608.0,33.06,6.005,0.042,0.038,0.079,0.08
