Ticker,Company Name,Sector,Industry,Beta,Calendar Year,Period,Filing Date,Revenue,Cost Of Revenue,Net Income,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Long-Term Debt,Short-Term Debt,Total Debt,Interest Expense,Income Before Tax,Income Tax Expense,Depreciation and Amortization,Operating Expenses,Operating Income,EBITDA,EBIT,EBT,Operating Cash Flow,Capital Expenditure,Cash And Short Term Investments,Net Cash,Free Cash Flow,Stock Based Compensation,Dividends Paid,Common Stock,Preferred Stock,Retained Earnings,Weighted Average Shares Outstanding,Revenue Per Share,Earnings per Share,Book Value Per Share,Current Ratio,Quick Ratio,Return On Equity,Return On Invested Capital,Return On Assets,Return On Capital Employed,Gross Profit Margin,Operating Profit Margin,Effective Tax Rate,Pre-Tax Cost of Debt,After-Tax Cost of Debt,Interest Coverage Ratio,Price Dates,Price,Market Cap,P/E Ratio,P/S Ratio,Risk Free Rate,Equity Risk Premium,WACC,Avg Market Return
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,1.05,2023,FY,,6833000000.0,3368000000.0,1240000000,4186000000.0,10763000000,1603000000,4918000000,2735000000,46000000.0,2735000000,95000000.0,1339000000,99000000,167895,2115000000,1350000000,1705000000,1434000000,1339000000,1772000000,-298000000.0,1590000000,-1145000000,1474000000,111000000.0,-265000000.0,3000000.0,,782000000.0,294000000,23.24,4.22,19.88,2.61,1.97,0.212,0.146,0.115,0.147,0.507,0.198,0.074,0.035,0.032,14.21,,139.2,40924798976,32.99,5.99,0.046,0.034,0.079,0.08
AAL,American Airlines Group Inc.,Industrials,"Airlines,  Airports & Air Services",1.45,2023,FY,,52788000000.0,40978000000.0,822000000,13572000000.0,63058000000,22062000000,68260000000,29270000000,4941000000.0,40663000000,2145000000.0,1121000000,299000000,1936000000,7805000000,4005000000,6259000000,3266000000,1121000000,3803000000,-2596000000.0,8488000000,-32175000000,1207000000,102000000.0,,7000000.0,,-7689000000.0,653612000,80.76,1.26,-7.96,0.62,0.51,-0.158,0.086,0.013,0.098,0.224,0.076,0.267,0.053,0.039,1.87,,11.13,7274701312,8.83,0.14,0.043,0.038,0.048,0.08
AAPL,Apple Inc.,Technology,Consumer Electronics,1.24,2023,FY,,383285000000.0,214137000000.0,96995000000,143566000000.0,352583000000,145308000000,290437000000,95281000000,15807000000.0,122355000000,3933000000.0,113736000000,16741000000,11519000000,55229000000,114301000000,125820000000,117669000000,113736000000,110543000000,-10959000000.0,61555000000,-60800000000,99584000000,10833000000.0,-15025000000.0,73812000000.0,,-214000000.0,15744231000,24.34,6.16,3.95,0.99,0.94,1.561,0.524,0.275,0.551,0.441,0.298,0.147,0.032,0.027,29.06,,226.34,3563549360128,36.74,9.3,0.043,0.04,0.087,0.08
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,0.62,2023,FY,,54318000000.0,8780000000.0,4863000000,33002000000.0,134711000000,37841000000,124314000000,52194000000,7191000000.0,59385000000,1669000000.0,6250000000,1377000000,8698000000,28113000000,17425000000,18096000000,7909000000,6250000000,22839000000,-777000000.0,12816000000,-46569000000,22062000000,747000000.0,-10539000000.0,18000000.0,,-1000000000.0,1768000000,30.72,2.73,5.88,0.87,0.76,0.469,0.195,0.036,0.18,0.838,0.321,0.22,0.028,0.022,10.44,,172.74,305404313600,63.27,5.62,0.042,0.038,0.059,0.08
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,1.19,2023,FY,,9917000000.0,1703000000.0,4792000000,16509000000.0,20683000000,9950000000,12518000000,1991000000,61000000.0,2304000000,83000000.0,2102000000,-2690000000,44000000,6696000000,1518000000,2229000000,2185000000,2102000000,3884000000,-47000000.0,10095000000,7791000000,3837000000,1120000000.0,,,,-3425000000.0,637000000,15.57,7.52,12.82,1.66,1.66,0.587,0.331,0.232,0.142,0.828,0.153,-1.28,0.036,0.082,18.29,,147.88,94199562240,19.66,9.5,0.043,0.037,0.087,0.08
ABT,Abbott Laboratories,Healthcare,Medical - Devices,0.72,2023,FY,,40109000000.0,17975000000.0,5723000000,22670000000.0,73214000000,13841000000,34387000000,13599000000,1325000000.0,15873000000,637000000.0,6664000000,941000000,3243000000,15656000000,6478000000,10585000000,7301000000,6664000000,7261000000,-2202000000.0,7279000000,-8594000000,5059000000,644000000.0,-3556000000.0,24869000000.0,,37554000000.0,1740000000,23.05,3.3,22.31,1.64,1.16,0.148,0.104,0.078,0.109,0.552,0.161,0.141,0.04,0.034,10.17,,106.57,185431801856,32.29,4.62,0.043,0.037,0.067,0.08
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,0.58,2023,FY,,13356000000.0,1396000000.0,4443000000,10819000000.0,49672000000,20031000000,31317000000,2726000000,,2882000000,133000000.0,3107000000,-873000000,95000000,3810000000,184000000,184000000,3703000000,3107000000,5749000000,-52000000.0,8026000000,5144000000,5697000000,93000000.0,-40000000.0,1000000.0,830000000.0,20295000000.0,368700000,36.22,11.94,49.78,0.54,0.92,0.242,0.011,0.089,0.006,0.896,0.014,-0.281,0.046,0.059,1.38,,101.02,37246074880,8.46,2.79,0.043,0.037,0.064,0.08
ACN,Accenture plc,Technology,Information Technology Services,1.23,2023,FY,,64111745000.0,43380138000.0,6871557000,23381931000.0,51245305000,18009038000,24786712000,2353807000,795227000.0,3149034000,47525000.0,9139332000,2135802000,2281085000,11921718000,8809889000,11467942000,9054884000,9139332000,9524268000,-528172000.0,9049607000,5900573000,8996096000,1913051000.0,-2827394000.0,72000.0,,19316224000.0,630608186,101.67,10.9,41.96,1.3,1.3,0.268,0.234,0.134,0.265,0.323,0.137,0.234,0.015,0.012,185.37,,282.32,178033295360,25.9,2.78,0.042,0.04,0.087,0.08
ADBE,Adobe Inc.,Technology,Software - Infrastructure,1.3,2023,FY,,19409000000.0,2354000000.0,5428000000,11084000000.0,29779000000,8251000000,13261000000,4007000000,73000000.0,4080000000,113000000.0,6799000000,1371000000,872000000,10405000000,6650000000,7768000000,6912000000,6799000000,7302000000,-360000000.0,7842000000,3762000000,6942000000,1718000000.0,,,,33346000000.0,457000000,42.47,11.93,36.14,1.34,1.34,0.329,0.258,0.182,0.309,0.879,0.343,0.202,0.028,0.022,58.85,,481.85,220205449216,40.39,11.35,0.044,0.036,0.089,0.08
ADI,"Analog Devices, Inc.",Technology,Semiconductors,1.08,2023,FY,,12305539000.0,4428321000.0,3314579000,4384022000.0,48794478000,3200971000,13229356000,5902457000,1111021000.0,7013478000,264641000.0,3608003000,293424000,2293103000,3893396000,3823112000,6326457000,3872644000,3608003000,4817634000,-1261463000.0,958061000,-6055417000,3556171000,299823000.0,-1679106000.0,82712000.0,25012865000.0,10356798000.0,502232000,24.5,6.6,70.81,1.37,0.86,0.093,0.082,0.068,0.084,0.64,0.311,0.081,0.038,0.035,14.45,,230.32,115674071040,34.9,9.4,,,0.002,0.08
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Agricultural Farm Products,0.73,2023,FY,,93968000000.0,87685000000.0,3483000000,29767000000.0,54631000000,18662000000,30166000000,8259000000,406000000.0,9596000000,685000000.0,4294000000,828000000,167895,3400000000,2883000000,3942000000,4996000000,4294000000,4460000000,-1494000000.0,5390000000,-4206000000,2966000000,112000000.0,-977000000.0,8054000000.0,,26165000000.0,541000000,173.69,6.44,45.22,1.6,0.95,0.144,0.071,0.064,0.08,0.067,0.031,0.193,0.071,0.058,4.21,,63.4,34299400192,9.84,0.37,0.042,0.038,0.067,0.08
