Ticker,Company Name,Sector,Industry,Beta,Calendar Year,Period,Filing Date,Revenue,Cost Of Revenue,Net Income,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Long-Term Debt,Short-Term Debt,Total Debt,Interest Expense,Income Before Tax,Income Tax Expense,Depreciation and Amortization,Operating Expenses,Operating Income,EBITDA,EBIT,EBT,Operating Cash Flow,Capital Expenditure,Cash And Short Term Investments,Net Cash,Free Cash Flow,Stock Based Compensation,Dividends Paid,Common Stock,Preferred Stock,Retained Earnings,Weighted Average Shares Outstanding,Revenue Per Share,Earnings per Share,Book Value Per Share,Current Ratio,Quick Ratio,Return On Equity,Return On Invested Capital,Return On Assets,Return On Capital Employed,Gross Profit Margin,Operating Profit Margin,Effective Tax Rate,Pre-Tax Cost of Debt,After-Tax Cost of Debt,Interest Coverage Ratio,Price Dates,Price,Market Cap,P/E Ratio,P/S Ratio,Risk Free Rate,Equity Risk Premium,WACC,Avg Market Return
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,1.05,2023,FY,20/12/2023,6833000000,3368000000,1240000000,4186000000,10763000000,1603000000,4918000000,2735000000,46000000,2735000000,95000000,1339000000,99000000,167895,2115000000,1350000000,1705000000,1434000000,1339000000,1772000000,-298000000,1590000000,-1145000000,1474000000,111000000,-265000000,3000000,0,782000000,294000000,23.240,4.220,19.880,2.610,1.970,0.212,0.146,0.115,0.147,0.507,0.198,0.0740,0.0350,0.0320,14.21,23/04/2024,139.20,40924798976,32.99,5.99,0.046,0.034,0.079,0.08
AAL,American Airlines Group Inc.,Industrials,"Airlines,  Airports & Air Services",1.45,2023,FY,21/02/2024,52788000000,40978000000,822000000,13572000000,63058000000,22062000000,68260000000,29270000000,4941000000,40663000000,2145000000,1121000000,299000000,1936000000,7805000000,4005000000,6259000000,3266000000,1121000000,3803000000,-2596000000,8488000000,-32175000000,1207000000,102000000,0,7000000,0,-7689000000,653612000,80.760,1.260,-7.960,0.620,0.510,-0.158,0.086,0.013,0.098,0.224,0.076,0.2670,0.0530,0.0390,1.87,25/06/2024,11.13,7274701312,8.83,0.14,0.043,0.038,0.048,0.08
AAPL,Apple Inc.,Technology,Consumer Electronics,1.24,2023,FY,03/11/2023,383285000000,214137000000,96995000000,143566000000,352583000000,145308000000,290437000000,95281000000,15807000000,122355000000,3933000000,113736000000,16741000000,11519000000,55229000000,114301000000,125820000000,117669000000,113736000000,110543000000,-10959000000,61555000000,-60800000000,99584000000,10833000000,-15025000000,73812000000,0,-214000000,15744231000,24.340,6.160,3.950,0.990,0.940,1.561,0.524,0.275,0.551,0.441,0.298,0.1470,0.0320,0.0270,29.06,05/07/2024,226.34,3563549360128,36.74,9.30,0.043,0.040,0.087,0.08
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,0.62,2023,FY,20/02/2024,54318000000,8780000000,4863000000,33002000000,134711000000,37841000000,124314000000,52194000000,7191000000,59385000000,1669000000,6250000000,1377000000,8698000000,28113000000,17425000000,18096000000,7909000000,6250000000,22839000000,-777000000,12816000000,-46569000000,22062000000,747000000,-10539000000,18000000,0,-1000000000,1768000000,30.720,2.730,5.880,0.870,0.760,0.469,0.195,0.036,0.180,0.838,0.321,0.2200,0.0280,0.0220,10.44,24/06/2024,172.74,305404313600,63.27,5.62,0.042,0.038,0.059,0.08
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,1.19,2023,FY,16/02/2024,9917000000,1703000000,4792000000,16509000000,20683000000,9950000000,12518000000,1991000000,61000000,2304000000,83000000,2102000000,-2690000000,44000000,6696000000,1518000000,2229000000,2185000000,2102000000,3884000000,-47000000,10095000000,7791000000,3837000000,1120000000,0,0,0,-3425000000,637000000,15.570,7.520,12.820,1.660,1.660,0.587,0.331,0.232,0.142,0.828,0.153,-1.2800,0.0360,0.0820,18.29,20/06/2024,147.88,94199562240,19.66,9.50,0.043,0.037,0.087,0.08
ABT,Abbott Laboratories,Healthcare,Medical - Devices,0.72,2023,FY,16/02/2024,40109000000,17975000000,5723000000,22670000000,73214000000,13841000000,34387000000,13599000000,1325000000,15873000000,637000000,6664000000,941000000,3243000000,15656000000,6478000000,10585000000,7301000000,6664000000,7261000000,-2202000000,7279000000,-8594000000,5059000000,644000000,-3556000000,24869000000,0,37554000000,1740000000,23.050,3.300,22.310,1.640,1.160,0.148,0.104,0.078,0.109,0.552,0.161,0.1410,0.0400,0.0340,10.17,20/06/2024,106.57,185431801856,32.29,4.62,0.043,0.037,0.067,0.08
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,0.58,2023,FY,23/02/2024,13356000000,1396000000,4443000000,10819000000,49672000000,20031000000,31317000000,2726000000,0,2882000000,133000000,3107000000,-873000000,95000000,3810000000,184000000,184000000,3703000000,3107000000,5749000000,-52000000,8026000000,5144000000,5697000000,93000000,-40000000,1000000,830000000,20295000000,368700000,36.220,11.940,49.780,0.540,0.920,0.242,0.011,0.089,0.006,0.896,0.014,-0.2810,0.0460,0.0590,1.38,27/06/2024,101.02,37246074880,8.46,2.79,0.043,0.037,0.064,0.08
ACN,Accenture plc,Technology,Information Technology Services,1.23,2023,FY,12/10/2023,64111745000,43380138000,6871557000,23381931000,51245305000,18009038000,24786712000,2353807000,795227000,3149034000,47525000,9139332000,2135802000,2281085000,11921718000,8809889000,11467942000,9054884000,9139332000,9524268000,-528172000,9049607000,5900573000,8996096000,1913051000,-2827394000,72000,0,19316224000,630608186,101.670,10.900,41.960,1.300,1.300,0.268,0.234,0.134,0.265,0.323,0.137,0.2340,0.0150,0.0120,185.37,13/06/2024,282.32,178033295360,25.90,2.78,0.042,0.040,0.087,0.08
ADBE,Adobe Inc.,Technology,Software - Infrastructure,1.3,2023,FY,17/01/2024,19409000000,2354000000,5428000000,11084000000,29779000000,8251000000,13261000000,4007000000,73000000,4080000000,113000000,6799000000,1371000000,872000000,10405000000,6650000000,7768000000,6912000000,6799000000,7302000000,-360000000,7842000000,3762000000,6942000000,1718000000,0,0,0,33346000000,457000000,42.470,11.930,36.140,1.340,1.340,0.329,0.258,0.182,0.309,0.879,0.343,0.2020,0.0280,0.0220,58.85,21/05/2024,481.85,220205449216,40.39,11.35,0.044,0.036,0.089,0.08
ADI,"Analog Devices, Inc.",Technology,Semiconductors,1.08,2023,FY,21/11/2023,12305539000,4428321000,3314579000,4384022000,48794478000,3200971000,13229356000,5902457000,1111021000,7013478000,264641000,3608003000,293424000,2293103000,3893396000,3823112000,6326457000,3872644000,3608003000,4817634000,-1261463000,958061000,-6055417000,3556171000,299823000,-1679106000,82712000,25012865000,10356798000,502232000,24.500,6.600,70.810,1.370,0.860,0.093,0.082,0.068,0.084,0.640,0.311,0.0810,0.0380,0.0350,14.45,23/07/2024,230.32,115674071040,34.90,9.40,,,0.002,0.08
