Company Name,Sector,Calendar Year,total_health,rel_quality,z_quality,price_metric,rel_price,z_price,price_hat,price_resid,price_resid_std,QARP_spread,QARP_resid,QARP_resid,rank_qarf
APA Corporation,Energy,2023,4.083,4.014749262536874,4.433952995960514,0.247,0.247,-1.090590341222841,1.1232229886728382,-1.5145691635573741,-2.236437947749412,5.5245433371833546,6.670390943709926,6.670390943709926,1
FMC Corporation,Basic Materials,2023,2.714,2.604606525911708,2.6644794232948144,0.229,0.229,-0.8771947804116093,1.093056456553674,-1.5630111361279289,-2.3079681679119335,3.5416742037064237,4.972447591206748,4.972447591206748,2
Vistra Corp.,Utilities,2023,2.085,2.0870870870870872,3.9961748540969704,1.144,1.144,0.493381667757219,1.0821897960225253,0.055544315695792504,0.0820176578216317,3.5027931863397512,3.9141571962753385,3.9141571962753385,3
HP Inc.,Technology,2023,1.331,1.21,0.3215926522533725,0.102,0.102,-0.7968763790531024,1.0640192085197282,-2.3448359095744085,-3.4624235958301037,1.118469031306475,3.7840162480834763,3.7840162480834763,4
Broadcom Inc.,Technology,2023,2.304,2.0945454545454543,1.6761798844721234,0.269,0.269,-0.6486822194741846,1.0823456339239115,-1.3921744686502806,-2.055707911195313,2.324862103946308,3.7318877956674363,3.7318877956674363,5
Emerson Electric Co.,Industrials,2023,1.569,1.4886148007590132,0.8651796329662413,0.183,0.183,-1.192240337449124,1.0697579520381904,-1.7657015359760797,-2.6072641741769744,2.0574199704153653,3.4724438071432155,3.4724438071432155,6
Public Storage,Real Estate,2023,2.799,2.7644444444444445,2.8498023724537096,0.766,0.766,-0.1636793761869549,1.0964346714846278,-0.3586368172130583,-0.529569072693569,3.0134817486406646,3.3793714451472785,3.3793714451472785,7
Johnson & Johnson,Healthcare,2023,2.247,2.0921787709497206,1.7451111511653172,0.362,0.362,-0.1546445575154038,1.0822961811268241,-1.0951959449897772,-1.6171844974339007,1.899755708680721,3.362295648599218,3.362295648599218,8
Jabil Inc.,Technology,2023,0.892,0.8109090909090909,-0.28957260462641343,0.092,0.092,-0.805750280824295,1.0558525594432127,-2.4403152557297623,-3.6034099819959184,0.5161776761978816,3.313837377369505,3.313837377369505,9
"Ameriprise Financial, Inc.",Financial Services,2023,4.088,3.3426001635322975,3.3343426634527824,1.147,1.147,0.17621475781382687,1.1087415591433718,0.033924196483041014,0.05009303119798135,3.1581279056389557,3.284249632254801,3.284249632254801,10
Lockheed Martin Corporation,Industrials,2023,2.508,2.379506641366224,2.442662497733816,0.639,0.639,-0.5268038700356594,1.0883165569671593,-0.5324828838145254,-0.7862730580707046,2.969466367769475,3.2289355558045205,3.2289355558045205,11
VICI Properties Inc.,Real Estate,2023,1.962,1.9377777777777778,1.5146304800698558,0.345,0.345,-0.4581623564207499,1.0790747882170153,-1.140314858352127,-1.6838078332528954,1.9727928364906058,3.198438313322751,3.198438313322751,12
"CF Industries Holdings, Inc.",Basic Materials,2023,2.132,2.0460652591170825,1.7370111072914762,0.414,0.414,-0.6667135425696539,1.081333071707778,-0.9600839107946659,-1.4176758267556755,2.40372464986113,3.1546869340471515,3.1546869340471515,13
"Everest Group, Ltd.",Financial Services,2023,2.699,2.2068683565004084,1.7177974768782915,0.41,0.41,-0.7072565109534548,1.0846952660403537,-0.9728972060351269,-1.4365961510307168,2.4250539878317463,3.154393627909008,3.154393627909008,14
Bristol-Myers Squibb Company,Healthcare,2023,2.215,2.0623836126629422,1.697503685830884,0.404,0.404,-0.144464194794954,1.0816737926662738,-0.9848500504683768,-1.4542459193722819,1.8419678806258382,3.151749605203166,3.151749605203166,15
